## Ore Dictionary Info                      ##
##############################################
## In the form:                             ##
## <ore dictionary entry>                   ##
##     <item id registered> - <item damage> ##
##     etc...                               ##
##############################################
artisansAthame
artisanworktables:artisans_groover_aluminum - any
artisanworktables:artisans_groover_bronze - any
artisanworktables:artisans_groover_constantan - any
artisanworktables:artisans_groover_copper - any
artisanworktables:artisans_groover_electrum - any
artisanworktables:artisans_groover_invar - any
artisanworktables:artisans_groover_lead - any
artisanworktables:artisans_groover_nickel - any
artisanworktables:artisans_groover_platinum - any
artisanworktables:artisans_groover_silver - any
artisanworktables:artisans_groover_steel - any
artisanworktables:artisans_groover_tin - any
artisanworktables:artisans_groover_osmium - any
artisanworktables:artisans_groover_boron - any
artisanworktables:artisans_groover_toughalloy - any
artisanworktables:artisans_groover_hardcarbon - any
artisanworktables:artisans_groover_boronnitride - any


artisansHammer
artisanworktables:artisans_hammer_wood - any
artisanworktables:artisans_hammer_stone - any
artisanworktables:artisans_hammer_iron - any
artisanworktables:artisans_hammer_gold - any
artisanworktables:artisans_hammer_diamond - any
artisanworktables:artisans_hammer_flint - any
artisanworktables:artisans_hammer_bone - any
artisanworktables:artisans_hammer_aluminum - any
artisanworktables:artisans_hammer_bronze - any
artisanworktables:artisans_hammer_constantan - any
artisanworktables:artisans_hammer_copper - any
artisanworktables:artisans_hammer_electrum - any
artisanworktables:artisans_hammer_invar - any
artisanworktables:artisans_hammer_lead - any
artisanworktables:artisans_hammer_nickel - any
artisanworktables:artisans_hammer_platinum - any
artisanworktables:artisans_hammer_silver - any
artisanworktables:artisans_hammer_steel - any
artisanworktables:artisans_hammer_tin - any
artisanworktables:artisans_hammer_osmium - any
artisanworktables:artisans_hammer_boron - any
artisanworktables:artisans_hammer_toughalloy - any
artisanworktables:artisans_hammer_hardcarbon - any
artisanworktables:artisans_hammer_boronnitride - any


artisansHandsaw
artisanworktables:artisans_handsaw_wood - any
artisanworktables:artisans_handsaw_stone - any
artisanworktables:artisans_handsaw_iron - any
artisanworktables:artisans_handsaw_gold - any
artisanworktables:artisans_handsaw_diamond - any
artisanworktables:artisans_handsaw_flint - any
artisanworktables:artisans_handsaw_bone - any
artisanworktables:artisans_handsaw_aluminum - any
artisanworktables:artisans_handsaw_bronze - any
artisanworktables:artisans_handsaw_constantan - any
artisanworktables:artisans_handsaw_copper - any
artisanworktables:artisans_handsaw_electrum - any
artisanworktables:artisans_handsaw_invar - any
artisanworktables:artisans_handsaw_lead - any
artisanworktables:artisans_handsaw_nickel - any
artisanworktables:artisans_handsaw_platinum - any
artisanworktables:artisans_handsaw_silver - any
artisanworktables:artisans_handsaw_steel - any
artisanworktables:artisans_handsaw_tin - any
artisanworktables:artisans_handsaw_osmium - any
artisanworktables:artisans_handsaw_boron - any
artisanworktables:artisans_handsaw_toughalloy - any
artisanworktables:artisans_handsaw_hardcarbon - any
artisanworktables:artisans_handsaw_boronnitride - any


artisansHatchet
artisanworktables:artisans_hatchet_wood - any
artisanworktables:artisans_hatchet_stone - any
artisanworktables:artisans_hatchet_iron - any
artisanworktables:artisans_hatchet_gold - any
artisanworktables:artisans_hatchet_diamond - any
artisanworktables:artisans_hatchet_flint - any
artisanworktables:artisans_hatchet_bone - any
artisanworktables:artisans_hatchet_aluminum - any
artisanworktables:artisans_hatchet_bronze - any
artisanworktables:artisans_hatchet_constantan - any
artisanworktables:artisans_hatchet_copper - any
artisanworktables:artisans_hatchet_electrum - any
artisanworktables:artisans_hatchet_invar - any
artisanworktables:artisans_hatchet_lead - any
artisanworktables:artisans_hatchet_nickel - any
artisanworktables:artisans_hatchet_platinum - any
artisanworktables:artisans_hatchet_silver - any
artisanworktables:artisans_hatchet_steel - any
artisanworktables:artisans_hatchet_tin - any
artisanworktables:artisans_hatchet_osmium - any
artisanworktables:artisans_hatchet_boron - any
artisanworktables:artisans_hatchet_toughalloy - any
artisanworktables:artisans_hatchet_hardcarbon - any
artisanworktables:artisans_hatchet_boronnitride - any


artisansKnife
artisanworktables:artisans_knife_wood - any
artisanworktables:artisans_knife_stone - any
artisanworktables:artisans_knife_iron - any
artisanworktables:artisans_knife_gold - any
artisanworktables:artisans_knife_diamond - any
artisanworktables:artisans_knife_flint - any
artisanworktables:artisans_knife_bone - any
artisanworktables:artisans_knife_aluminum - any
artisanworktables:artisans_knife_bronze - any
artisanworktables:artisans_knife_constantan - any
artisanworktables:artisans_knife_copper - any
artisanworktables:artisans_knife_electrum - any
artisanworktables:artisans_knife_invar - any
artisanworktables:artisans_knife_lead - any
artisanworktables:artisans_knife_nickel - any
artisanworktables:artisans_knife_platinum - any
artisanworktables:artisans_knife_silver - any
artisanworktables:artisans_knife_steel - any
artisanworktables:artisans_knife_tin - any
artisanworktables:artisans_knife_osmium - any
artisanworktables:artisans_knife_boron - any
artisanworktables:artisans_knife_toughalloy - any
artisanworktables:artisans_knife_hardcarbon - any
artisanworktables:artisans_knife_boronnitride - any


artisansLens
artisanworktables:artisans_lens_wood - any
artisanworktables:artisans_lens_stone - any
artisanworktables:artisans_lens_iron - any
artisanworktables:artisans_lens_gold - any
artisanworktables:artisans_lens_diamond - any
artisanworktables:artisans_lens_flint - any
artisanworktables:artisans_lens_bone - any
artisanworktables:artisans_lens_aluminum - any
artisanworktables:artisans_lens_bronze - any
artisanworktables:artisans_lens_constantan - any
artisanworktables:artisans_lens_copper - any
artisanworktables:artisans_lens_electrum - any
artisanworktables:artisans_lens_invar - any
artisanworktables:artisans_lens_lead - any
artisanworktables:artisans_lens_nickel - any
artisanworktables:artisans_lens_platinum - any
artisanworktables:artisans_lens_silver - any
artisanworktables:artisans_lens_steel - any
artisanworktables:artisans_lens_tin - any
artisanworktables:artisans_lens_osmium - any
artisanworktables:artisans_lens_boron - any
artisanworktables:artisans_lens_toughalloy - any
artisanworktables:artisans_lens_hardcarbon - any
artisanworktables:artisans_lens_boronnitride - any


artisansMortar
artisanworktables:artisans_mortar_wood - any
artisanworktables:artisans_mortar_stone - any
artisanworktables:artisans_mortar_iron - any
artisanworktables:artisans_mortar_gold - any
artisanworktables:artisans_mortar_diamond - any
artisanworktables:artisans_mortar_flint - any
artisanworktables:artisans_mortar_bone - any
artisanworktables:artisans_mortar_aluminum - any
artisanworktables:artisans_mortar_bronze - any
artisanworktables:artisans_mortar_constantan - any
artisanworktables:artisans_mortar_copper - any
artisanworktables:artisans_mortar_electrum - any
artisanworktables:artisans_mortar_invar - any
artisanworktables:artisans_mortar_lead - any
artisanworktables:artisans_mortar_nickel - any
artisanworktables:artisans_mortar_platinum - any
artisanworktables:artisans_mortar_silver - any
artisanworktables:artisans_mortar_steel - any
artisanworktables:artisans_mortar_tin - any
artisanworktables:artisans_mortar_osmium - any
artisanworktables:artisans_mortar_boron - any
artisanworktables:artisans_mortar_toughalloy - any
artisanworktables:artisans_mortar_hardcarbon - any
artisanworktables:artisans_mortar_boronnitride - any


artisansNeedle
artisanworktables:artisans_needle_wood - any
artisanworktables:artisans_needle_stone - any
artisanworktables:artisans_needle_iron - any
artisanworktables:artisans_needle_gold - any
artisanworktables:artisans_needle_diamond - any
artisanworktables:artisans_needle_flint - any
artisanworktables:artisans_needle_bone - any
artisanworktables:artisans_needle_aluminum - any
artisanworktables:artisans_needle_bronze - any
artisanworktables:artisans_needle_constantan - any
artisanworktables:artisans_needle_copper - any
artisanworktables:artisans_needle_electrum - any
artisanworktables:artisans_needle_invar - any
artisanworktables:artisans_needle_lead - any
artisanworktables:artisans_needle_nickel - any
artisanworktables:artisans_needle_platinum - any
artisanworktables:artisans_needle_silver - any
artisanworktables:artisans_needle_steel - any
artisanworktables:artisans_needle_tin - any
artisanworktables:artisans_needle_osmium - any
artisanworktables:artisans_needle_boron - any
artisanworktables:artisans_needle_toughalloy - any
artisanworktables:artisans_needle_hardcarbon - any
artisanworktables:artisans_needle_boronnitride - any


artisansPan
artisanworktables:artisans_pan_wood - any
artisanworktables:artisans_pan_stone - any
artisanworktables:artisans_pan_iron - any
artisanworktables:artisans_pan_gold - any
artisanworktables:artisans_pan_diamond - any
artisanworktables:artisans_pan_flint - any
artisanworktables:artisans_pan_bone - any
artisanworktables:artisans_pan_aluminum - any
artisanworktables:artisans_pan_bronze - any
artisanworktables:artisans_pan_constantan - any
artisanworktables:artisans_pan_copper - any
artisanworktables:artisans_pan_electrum - any
artisanworktables:artisans_pan_invar - any
artisanworktables:artisans_pan_lead - any
artisanworktables:artisans_pan_nickel - any
artisanworktables:artisans_pan_platinum - any
artisanworktables:artisans_pan_silver - any
artisanworktables:artisans_pan_steel - any
artisanworktables:artisans_pan_tin - any
artisanworktables:artisans_pan_osmium - any
artisanworktables:artisans_pan_boron - any
artisanworktables:artisans_pan_toughalloy - any
artisanworktables:artisans_pan_hardcarbon - any
artisanworktables:artisans_pan_boronnitride - any


artisansPencil
artisanworktables:artisans_pencil_wood - any
artisanworktables:artisans_pencil_stone - any
artisanworktables:artisans_pencil_iron - any
artisanworktables:artisans_pencil_gold - any
artisanworktables:artisans_pencil_diamond - any
artisanworktables:artisans_pencil_flint - any
artisanworktables:artisans_pencil_bone - any
artisanworktables:artisans_pencil_aluminum - any
artisanworktables:artisans_pencil_bronze - any
artisanworktables:artisans_pencil_constantan - any
artisanworktables:artisans_pencil_copper - any
artisanworktables:artisans_pencil_electrum - any
artisanworktables:artisans_pencil_invar - any
artisanworktables:artisans_pencil_lead - any
artisanworktables:artisans_pencil_nickel - any
artisanworktables:artisans_pencil_platinum - any
artisanworktables:artisans_pencil_silver - any
artisanworktables:artisans_pencil_steel - any
artisanworktables:artisans_pencil_tin - any
artisanworktables:artisans_pencil_osmium - any
artisanworktables:artisans_pencil_boron - any
artisanworktables:artisans_pencil_toughalloy - any
artisanworktables:artisans_pencil_hardcarbon - any
artisanworktables:artisans_pencil_boronnitride - any


artisansPliers
artisanworktables:artisans_pliers_wood - any
artisanworktables:artisans_pliers_stone - any
artisanworktables:artisans_pliers_iron - any
artisanworktables:artisans_pliers_gold - any
artisanworktables:artisans_pliers_diamond - any
artisanworktables:artisans_pliers_flint - any
artisanworktables:artisans_pliers_bone - any
artisanworktables:artisans_pliers_aluminum - any
artisanworktables:artisans_pliers_bronze - any
artisanworktables:artisans_pliers_constantan - any
artisanworktables:artisans_pliers_copper - any
artisanworktables:artisans_pliers_electrum - any
artisanworktables:artisans_pliers_invar - any
artisanworktables:artisans_pliers_lead - any
artisanworktables:artisans_pliers_nickel - any
artisanworktables:artisans_pliers_platinum - any
artisanworktables:artisans_pliers_silver - any
artisanworktables:artisans_pliers_steel - any
artisanworktables:artisans_pliers_tin - any
artisanworktables:artisans_pliers_osmium - any
artisanworktables:artisans_pliers_boron - any
artisanworktables:artisans_pliers_toughalloy - any
artisanworktables:artisans_pliers_hardcarbon - any
artisanworktables:artisans_pliers_boronnitride - any


artisansPunch
artisanworktables:artisans_punch_wood - any
artisanworktables:artisans_punch_stone - any
artisanworktables:artisans_punch_iron - any
artisanworktables:artisans_punch_gold - any
artisanworktables:artisans_punch_diamond - any
artisanworktables:artisans_punch_flint - any
artisanworktables:artisans_punch_bone - any
artisanworktables:artisans_punch_aluminum - any
artisanworktables:artisans_punch_bronze - any
artisanworktables:artisans_punch_constantan - any
artisanworktables:artisans_punch_copper - any
artisanworktables:artisans_punch_electrum - any
artisanworktables:artisans_punch_invar - any
artisanworktables:artisans_punch_lead - any
artisanworktables:artisans_punch_nickel - any
artisanworktables:artisans_punch_platinum - any
artisanworktables:artisans_punch_silver - any
artisanworktables:artisans_punch_steel - any
artisanworktables:artisans_punch_tin - any
artisanworktables:artisans_punch_osmium - any
artisanworktables:artisans_punch_boron - any
artisanworktables:artisans_punch_toughalloy - any
artisanworktables:artisans_punch_hardcarbon - any
artisanworktables:artisans_punch_boronnitride - any


artisansQuill
artisanworktables:artisans_quill_wood - any
artisanworktables:artisans_quill_stone - any
artisanworktables:artisans_quill_iron - any
artisanworktables:artisans_quill_gold - any
artisanworktables:artisans_quill_diamond - any
artisanworktables:artisans_quill_flint - any
artisanworktables:artisans_quill_bone - any
artisanworktables:artisans_quill_aluminum - any
artisanworktables:artisans_quill_bronze - any
artisanworktables:artisans_quill_constantan - any
artisanworktables:artisans_quill_copper - any
artisanworktables:artisans_quill_electrum - any
artisanworktables:artisans_quill_invar - any
artisanworktables:artisans_quill_lead - any
artisanworktables:artisans_quill_nickel - any
artisanworktables:artisans_quill_platinum - any
artisanworktables:artisans_quill_silver - any
artisanworktables:artisans_quill_steel - any
artisanworktables:artisans_quill_tin - any
artisanworktables:artisans_quill_osmium - any
artisanworktables:artisans_quill_boron - any
artisanworktables:artisans_quill_toughalloy - any
artisanworktables:artisans_quill_hardcarbon - any
artisanworktables:artisans_quill_boronnitride - any


artisansRazor
artisanworktables:artisans_razor_wood - any
artisanworktables:artisans_razor_stone - any
artisanworktables:artisans_razor_iron - any
artisanworktables:artisans_razor_gold - any
artisanworktables:artisans_razor_diamond - any
artisanworktables:artisans_razor_flint - any
artisanworktables:artisans_razor_bone - any
artisanworktables:artisans_razor_aluminum - any
artisanworktables:artisans_razor_bronze - any
artisanworktables:artisans_razor_constantan - any
artisanworktables:artisans_razor_copper - any
artisanworktables:artisans_razor_electrum - any
artisanworktables:artisans_razor_invar - any
artisanworktables:artisans_razor_lead - any
artisanworktables:artisans_razor_nickel - any
artisanworktables:artisans_razor_platinum - any
artisanworktables:artisans_razor_silver - any
artisanworktables:artisans_razor_steel - any
artisanworktables:artisans_razor_tin - any
artisanworktables:artisans_razor_osmium - any
artisanworktables:artisans_razor_boron - any
artisanworktables:artisans_razor_toughalloy - any
artisanworktables:artisans_razor_hardcarbon - any
artisanworktables:artisans_razor_boronnitride - any


artisansShears
artisanworktables:artisans_shears_wood - any
artisanworktables:artisans_shears_stone - any
artisanworktables:artisans_shears_iron - any
artisanworktables:artisans_shears_gold - any
artisanworktables:artisans_shears_diamond - any
artisanworktables:artisans_shears_flint - any
artisanworktables:artisans_shears_bone - any
artisanworktables:artisans_shears_aluminum - any
artisanworktables:artisans_shears_bronze - any
artisanworktables:artisans_shears_constantan - any
artisanworktables:artisans_shears_copper - any
